"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.014622000","173.194.28.156","192.168.0.109","TCP","76","443 > 50595 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1440 SACK_PERM=1 TSval=178279621 TSecr=640722182 WS=128"
"5","0.037308000","173.194.28.156","192.168.0.109","TCP","68","443 > 50595 [ACK] Seq=1 Ack=204 Win=30080 Len=0 TSval=178279638 TSecr=640722196"
"6","0.037311000","173.194.28.156","192.168.0.109","TLSv1.2","1494","Server Hello"
"7","0.039111000","173.194.28.156","192.168.0.109","TCP","1494","[TCP segment of a reassembled PDU]"
"9","0.039240000","173.194.28.156","192.168.0.109","TCP","1306","[TCP segment of a reassembled PDU]"
"11","0.040778000","173.194.28.156","192.168.0.109","TLSv1.2","640","Certificate"
"16","0.061623000","173.194.28.156","192.168.0.109","TCP","640","[TCP Retransmission] 443 > 50595 [PSH, ACK] Seq=4097 Ack=204 Win=30080 Len=574 TSval=178279669 TSecr=640722196[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
"18","0.092407000","173.194.28.156","192.168.0.109","TCP","68","443 > 50595 [ACK] Seq=4671 Ack=285 Win=30080 Len=0 TSval=178279688 TSecr=640722222"
"20","0.096389000","173.194.28.156","192.168.0.109","TLSv1.2","113","Change Cipher Spec, Encrypted Handshake Message"
"23","0.115155000","173.194.28.156","192.168.0.109","TLSv1.2","568","Application Data"
"26","9.127338000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"27","9.127340000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"29","9.129222000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"31","9.129456000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"32","9.131207000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"33","9.131210000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"35","9.133163000","173.194.28.156","192.168.0.109","TCP","1458","[TCP Previous segment not captured] [TCP segment of a reassembled PDU]"
"36","9.133166000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"39","9.134988000","173.194.28.156","192.168.0.109","TCP","1458","[TCP Out-Of-Order] [TCP segment of a reassembled PDU]"
"41","9.135122000","173.194.28.156","192.168.0.109","TCP","1458","[TCP Out-Of-Order] [TCP segment of a reassembled PDU]"
"44","9.138225000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"45","9.139012000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"47","9.145887000","173.194.28.156","192.168.0.109","TLSv1.2","1458","Application Data"
"48","9.145892000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"49","9.145893000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"51","9.146021000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"54","9.147120000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"55","9.148491000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"57","9.149169000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"58","9.149923000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
"59","9.149927000","173.194.28.156","192.168.0.109","TCP","1458","[TCP segment of a reassembled PDU]"
